codigo,nombre,fecha_registro,stock,precio_compra,precio_1,precio_2,precio_3
7774112110010,"FILETE RETAIL DE TRUCHA TK AV",2026-08-01,34,60.8,74.2,,
7774112110058,"FILETE AHUMADO AL CALIENTE DE TRUCHA TK AV",2026-08-01,3,50,66,,
2200446,"FILETE DE MERLUZA PUERTO AZUL",2026-08-01,15.65,88.8,117.3,114.6,111.9
2100465,"FILETE DE PAICHE",2026-08-01,3.41,95.46,126,123.2,120.3
2200004,"FILETE DE POLLO A GRANEL",2026-08-03,1.92,50,58,56,55
2200401,"FILETE DE TILAPIA",2026-08-04,15.245,122,161.1,157.4,153.7
7774112110034,"FILETE MARIPOSA DE TRUCHA TK AV",2026-08-01,19,60.8,74.2,0,0
7774112110027,"FILETE RETAIL LIGHT 500GR",2026-08-01,9,61.8,75.5,0,0
7774112103852,"FINGERS ESTILO AMERICANO 500GR",2026-08-02,5,22.75,30,29.4,28.7
7774112103876,"FINGERS SABOR CREMA Y CEBOLLA",2026-08-03,10,22.75,30,29.4,28.7
7774112103869,"FINGERS SABOR MANTEQUILLA 500GR",2026-08-02,9,22.75,30,29.4,28.7
7771214002519,"GELATINA LIGHT CEREZA 24 G",2026-08-04,9,8,10.6,10.4,10.1
7771214001796,"GELATINA PIÑA DE 250 GRA",2026-08-04,14,6,8,8.8,7.6
7771214001789,"GELATINA CEREZA 250 G",2026-08-02,12,6,8,8.8,7.6
7771214001802,"GELATINA DE NARANJA 250 G",2026-08-04,19,6,8,8.8,7.6
7771214001819,"GELATINA FRUTILLA 250 G",2026-08-02,13,6,8,8.8,7.6
7771214002502,"GELATINA LIGHT FRUTILLA",2026-08-02,5,8,10.6,10.4,10.1
7771214001901,"GELATINA SABOR FRAMBUESA 250 G",2026-08-04,19,6,8,7.8,7.6
7775021400315,"GUA QUESO CHEDAR LAMINADO 500GR",2026-08-02,21,39,51.5,50.4,49.2
7770109400010,"HAMB DE PATO CON LICOR DE 4 UND",2026-08-02,2,43.5,59.4,56.12,54.81
734191280636,"HAMBURGUESA DE TRUCHA",2026-08-01,2,61,80.6,78.7,76.9
7411000222416,"HIERBAS ITALIANAS MC CORMICK 18.HG",2026-08-02,19,21.67,28.6,28,27.3
77148,"HUEVO MARRON ESTUCHE 12U.",2026-08-02,2,14,18,0,0
77147,"HUEVO MARRON MAPLE",2026-08-02,12,26.5,34.5,0,0
7771257080291,"JALAPEÑOS FRASCO BRIXY 370 GRS",2026-08-02,6,17.5,23.1,22.6,22.1
2200061,"JAMON AHUMADO DE CERDO EN BARRA",2026-08-02,3.53,68.31,90.2,88.2,86.2
2200380,"JAMON DE PAVO EN BARRA DE 4 KG",2026-08-03,3.97,86.16,113.8,111.2,108.6
2200059,"JAMON DE POLLO EN BARRA .",2026-08-03,10.99,43.24,57.1,55.8,54.5
2200100019706,"JAMON FAMILIAR EN BARRA",2026-08-02,21.84,36,47.6,46.5,45.4
2200237,"JAMON LIGHT DE POLLO EN BARRA .",2026-08-02,10.6,52.69,69.6,68,66.4
2100399,"JAMON PIZZERO EN BARRA",2026-08-02,41.61,37.46,49.5,48.4,47.2
110023,"JAMON PIZZERO EN LONJAS 1KG",2026-08-02,2,42.54,56.2,54.9,53.6
1163,"JAMON SANDWICERO VACIO 220 GRS",2026-08-04,13,17.61,23.3,22.8,22.2
2200060,"JAMON SANDWICHERO EN BARRA",2026-08-04,32.35,46.58,61.5,60.1,58.7
7774112101636,"JUGO DE DURAZNO EN LATA",2026-08-02,27,21.42,28.3,27.7,27
7771214002564,"KETCHUP KRIS DE 200 GRS",2026-08-04,49,8.12,10.8,10.5,10.3
7771214001383,"KETCHUP KRIS 47 ML",2026-08-04,73,1.71,2.3,2.3,2.3
7771214003271,"KETCHUP KRIS 490 G .",2026-08-04,32,16.13,21.3,20.9,20.4
7771214001314,"KETCHUP KRIS 985 G",2026-08-02,13,24.93,33,32.2,31.4
7771214000850,"KETCHUP KRIS GALON 3950 G",2026-08-02,2,65.59,86.6,84.7,82.7
7771214000843,"KETCHUP KRIS POMO 400 G",2026-08-04,15,13.55,18,17.5,17.1
7771214001093,"KETCHUP PICANTE POMO 410 G",2026-08-04,15,13.5,18,17.5,17.1
7771260760685,"KRIS SALSA MOSTAZA Y MIEL 200GR",2026-08-02,29,9.6,12.7,12.4,12.1
7771260760654,"KRIS SALSA PARA PIZZA 200GR",2026-08-04,1,7.7,10.2,10,9.7
77111,"LANGOSTA (2U)",2026-08-01,2,126.7,167.2,163.5,159.7
2200252,"LANGOSTINO CRUDO MEDIANO",2026-08-01,29,76.2,100.6,98.3,96
7771257080611,"LLAJUA BRIXY 230 GRS",2026-08-02,11,16,21.1,20.7,20.2
7771214009426,"LLAJUA CON QUIRQUIÑA CRIOLLA 90 G.",2026-08-04,15,5.2,7,6.8,6.6
7771257080598,"LLAJUA VERDE BRIXI 230 GRS",2026-08-02,1,18.8,24.9,24.3,23.7
2200375,"LOMITO DE RES PREMIUN",2026-08-02,12.96,162.7,214.8,209.9,205
7774112102718,"LOMITOS DE ACEITE VEGETAL 80 GRS X 3",2026-08-02,17,43.8,57.9,56.5,55.2
7774112100653,"LOMITOS DE ATUN EN ACEITE VEGETAL 170GR",2026-08-02,16,26.63,35.2,34.3,33.6
7774112102343,"LOMITOS DE ATUN EN ACEITE VEGETAL 400 GRS",2026-08-02,14,49.15,64.9,63.4,62
7774112100646,"LOMITOS DE ATUN EN AGUA 170GR",2026-08-03,30,17.58,31.3,22.7,22.2
7774112102336,"LOMITOS DE ATUN EN AGUA 400GRS",2026-08-02,68,49.23,65,63.6,62
7774112102701,"LOMITOS DE ATUN EN AGUA 80 GRX3",2026-08-02,36,44.17,58.4,57,55.7
781159309304,"LOMITOS DE TRUCHA AL ACEITE DE OLIVA",2026-08-02,16,27.9,36.8,36,35.2
781159309274,"LOMITOS DE TRUCHA AL LIMON TK 165 GRS",2026-08-02,20,27.9,36.8,36,35.2
2200011,"LOMO DE CERDO A GRANEL .",2026-08-03,16.72,44,58,57,55
2200026,"LOMO DE CERDO CONGELADO EN BANDEJA",2026-08-02,2.3,60.82,84.7,78.46,76.63
7772622360116,"MANTEQUILLA AJO PICANTE 200GRS BRASUCO",2026-08-02,4,15,19.8,19.4,18.9
7771259300038,"MARKA DELIFRUTA ACEROLA 500G",2026-08-01,3,16,21.2,20.7,20.2
7771259300021,"MARKA DELIFRUTA COPOAZU 500G",2026-08-01,2,20,26.5,25.8,25.2
7771259300045,"MARKA DELIFRUTA FRUTILLA 500G",2026-08-01,7,16,21.2,20.7,20.2
7771259300106,"MARKA DELIFRUTA FRUTOS ROJOS 500G",2026-08-01,2,18,23.8,23.3,22.7
7771259300250,"MARKA DELIFRUTA GUAYABA 500G",2026-08-01,1,16,21.2,20.7,20.2
7771259300090,"MARKA DELIFRUTA MANGO 500G",2026-08-01,2,16,21.2,20.7,20.2
7771259300052,"MARKA DELIFRUTA MARACUYA 500G",2026-08-01,2,16,21.2,20.7,20.2
7771259300298,"MARKA DELIFRUTA SANDIA 500GR",2026-08-01,17,14,18.5,18.1,17.7
7771259300069,"MARKA DELIFRUTA TAMARINDO 500G",2026-08-01,5,14,18.5,18.1,17.7
7771259300331,"MARKA INDUSTRIAL ACHACHAIRU 1KG",2026-08-01,5,40,52.8,51.6,50.4
7771259300340,"MARKA INDUSTRIAL ASAI 1KG",2026-08-01,4,32,42.3,41.3,40.3
7771259300312,"MARKA INDUSTRIAL GUAYABA 1 KG",2026-08-01,5,26.5,35,34.2,33.4
7771259300290,"MARKA INDUSTRIAL MANGO 1 KG",2026-08-01,4,22.5,29.7,29.1,28.4
7771259300272,"MARKA INDUSTRIAL MARACUYA 1 KG",2026-08-01,2,27,35.7,34.9,34.1
2200028,"MATAMBRE DE CERDO CONGELADO EN BANDEJA",2026-08-02,7.27,53.56,70.7,69.1,67.5
7790070317483,"MATARAZO LASAGNA DE 250 GR",2026-08-02,27,16.07,21.2,21.2,20.3
7790070317476,"MATARAZO LASAGNA DE 400 GRS",2026-08-02,13,25.5,33.7,32.9,32.2
7790070320438,"MATARAZO SPAGUETTI 400G",2026-08-02,18,7.04,9.3,9.2,8.9
7790070320445,"MATARAZO TALLARIN 400 G",2026-08-02,11,7.04,9.3,9.2,8.9
7790070335999,"MATARAZZO RIGATE SIN GLUTEN",2026-08-02,10,21.67,28.6,28,27.3
110027,"MAXY PAN BLANCO",2026-08-02,9,13,17.2,16.8,16.4
110026,"MAXY PAN HOT DOGS",2026-08-02,2,10,15.9,12.9,12.6
110028,"MAXY PAN INTEGRAL",2026-08-02,7,13,17.2,16.8,16.4
7771260760661,"MAYONESA AHUMADA 200GR",2026-08-04,24,10,14.8,12.9,12.6
7771214009389,"MAYONESA CON AJO KRIS 200GR",2026-08-04,28,10,15.6,12.9,12.6
7771214001109,"MAYONESA KRIS 47 ML",2026-08-04,63,1.67,2.3,2.3,2.3
7771214001413,"MAYONESA KRIS 485 ML",2026-08-04,32,18.59,24.6,24,23.5
7771214002571,"MAYONESA KRIS 225ML",2026-08-02,213,9.87,13.2,12.8,12.5
7771214001307,"MAYONESA KRIS 980 G",2026-08-04,25,32.73,43.2,42.3,41.3
7771214000881,"MAYONESA KRIS GALON 3.600 ML",2026-08-02,2,82.5,18.9,106.5,104
7771214007163,"MAYONESA LIGHT 200 ML",2026-08-04,24,10,13.2,12.9,12.6
7771214002595,"MAYONESA LIGHT 500 ML",2026-08-04,15,19.7,26,25.5,24.9
7771214005244,"MAYONESA PICANTE KRIS 50ML",2026-08-04,25,1.74,2.3,2.3,2.3
7771214005251,"MAYONESA PICANTE KRIS 230ML",2026-08-04,25,10,13.2,12.9,12.6
7771214004841,"MAYONESA PICANTE KRIS POMO 380 ML",2026-08-04,15,17.5,26.4,22.6,22.1
052100004488,"MC CORMICK PAPRIKA 60GR",2026-08-02,6,27.77,36.7,35.9,35
7774112102404,"MERMELADA DE GUAYABA 500.G",2026-08-02,20,24.11,31.9,31.1,30.4
7774112102411,"MERMELADA DE DURAZNO 500GR",2026-08-02,17,24,31.7,31,30.3
7774112102381,"MERMELADA DE FRUTILLA 500 G.",2026-08-02,14,25.54,33.7,33,32.2
7774112102398,"MERMELADA DE MORA",2026-08-02,25,24.82,32.8,32.1,31.3
7773435630021,"MEXICANO TORTILLAS 430GR",2026-08-03,1,12.5,15.2,16.2,15.8
7774112100479,"MILANESA AMERICANA 2X125 GRS",2026-08-04,17,12.8,18.5,16.51,16.13
7774112100219,"MILANESA AMERICANA DE POLLO EN CAJA",2026-08-02,8,24.88,32.9,32.1,31.4
7774112100370,"MILANESA CASERA DE RES 500R CAJA",2026-08-04,11,34.86,46.1,45,44
7774112102053,"MILANESA CORDON BLEU 2X150",2026-08-02,9,15.1,21.9,19.5,19.1
7774112100097,"MILANESA DE POLLO CAJA",2026-08-02,14,24.16,32,31.2,30.5
7774112101094,"MILANESA DE RES DE 2 UNID",2026-08-02,10,18.2,24.1,23.5,23
7774112103357,"MILANESA EXPRES DE POLLO CAJA",2026-08-04,13,24.9,32.9,32.2,31.4
7774112103340,"MILANESA EXPRES DE RES CAJA",2026-08-02,8,36.1,47.7,46.6,45.5
1164,"MINI SALCHICHA DE POLLO AL VACIO (10 UNID)",2026-08-02,3,12.51,16.6,16.2,15.8
1165,"MINI SALCHICHA DE POLLO AL VACIO (20 UNID)",2026-08-04,6,21.73,28.7,28.1,27.4
1168,"MINI SALCHICHA DE RES AL VACIO (10 UNID)",2026-08-04,13,13.73,18.2,17.7,17.3
1169,"MINI SALCHICHA DE RES AL VACIO (20 UNID)",2026-08-04,15,23.42,31,30.2,29.6
7801220002828,"MINUTO VERDE ARANDANO 400GR",2026-08-01,4,55.5,73.3,71.6,70
7801220311104,"MINUTO VERDE ARVEJAS 500GR",2026-08-01,1,27.9,36.8,36,35.2
7801220431109,"MINUTO VERDE CHOCLO 500GR",2026-08-01,11,27.9,36.8,36,35.2
7801220013312,"MINUTO VERDE ESPARRAGOS 350GR",2026-08-01,11,55,72.6,71,69.3
7801220504193,"MINUTO VERDE FRAMBUESA 400GR",2026-08-01,1,73.5,97.1,94.9,92
7801220100036,"MINUTO VERDE FRUTILLA 500GR",2026-08-01,5,52.2,68.9,67.4,65.8
7801220004457,"MINUTO VERDE SMOOTHIE YELOW",2026-08-01,14,53.3,76.3,68.8,67.2
2200247,"MIXTURA DE MARISCOS",2026-08-01,36,46.8,61.8,60.4,59
2200066,"MORCILLA A GRANEL",2026-08-02,1.07,41.55,54.9,53.6,52.4
2200054,"MORTADELA BONISIMA C/ TOCINO EN BARRA",2026-08-04,27.52,25.44,33.6,32.9,32.1
2200053,"MORTADELA BONISIMA EN BARRA",2026-08-04,37.4,25.44,33.6,32.9,32.1
11268,"MORTADELA BONISSIMA EN BARRA DE 1 KG",2026-08-04,5,28.02,37,36.2,35.4
1159,"MORTADELA BONISSIMA 500 GRS",2026-08-03,4,12.41,16.4,16,15.7
2200050,"MORTADELA DE POLLO EN BARRA DE 3.8 KG",2026-08-02,16.93,37.84,50,48.9,47.7
1161,"MORTADELA JAMONADA AL VACIO 200 GRS",2026-08-04,11,12.68,16.8,16.4,16
2200049,"MORTADELA JAMONADA EN BARRA DE 3.8 KG",2026-08-02,23.31,43.62,57.6,56.3,55
7774112100684,"MORTADELA JAMONADA EN BARRA DE 500 GRS",2026-08-02,3,23.25,30.7,30,29.3
1162,"MORTADELA PRIMAVERA AL VACIO 200 GRS",2026-08-04,11,10.19,13.5,13.2,12.9
2200048,"MORTADELA PRIMAVERA EN BARRA DE 3.8 KG",2026-08-04,21.53,37.91,50.1,48.9,47.8
7771214002588,"MOSTAZA KRIS DE 200 GR",2026-08-02,44,8.12,11,10.5,10.3
7771214001390,"MOSTAZA KRIS SOBRE 47 ML",2026-08-04,55,1.71,2.3,2.3,2.3
7771214001321,"MOSTAZA KRIS DP 985.GR",2026-08-02,21,24.93,33,32.2,31.4
7771214000805,"MOSTAZA KRIS POMO 400 G",2026-08-02,12,13.55,21.1,17.48,17.07
7775021400025,"MOZZARELLA LAMINADO VAQUITA 500GR",2026-08-02,8,38,50.2,49,47.9
7772919460017,"MOZZARELLA BOLITA VAQUITA",2026-08-02,17,29,38.3,37.5,36.6
7772919460031,"MOZZARELLA LAMINADO VAQUITA 250GR",2026-08-04,16,17,26.5,22,21.5
7774112100349,"MUSLO RELLENO EN CAJA",2026-08-02,13,41.3,54.6,53.3,52.1
2200450,"MUSLOS DE POLLO CONGELADO EN BANDEJA",2026-08-02,1.27,23.18,30.6,30,39.2
7774112110119,"NUGGETS DE TRUCHA TK AV",2026-08-01,3,43.26,52.8,55.81,54.51
7774112100189,"NUGGETS PATITAS 12 U EN BOLSA",2026-08-02,15,19.76,26.1,25.5,24.9
7774112103821,"NUGUETS DINO EN BOLSA 12U",2026-08-02,10,20.09,26.6,26,25.4
7774112103838,"NUGUETS DINO EN BOLSA 30U",2026-08-04,13,47.41,62.6,61.2,59.8
7774112103845,"NUGUETS PATITAS EN BOLSA 30U",2026-08-04,11,43.2,57,55.8,54.5
11277,"NUTRI MIEL DE ABEJA DE 1250GR",2026-08-02,7,90,125.5,116.1,113.4
11278,"NUTRI MIEL DE ABEJA DE 1000 GR",2026-08-02,14,70,99,90.3,88.2
2200245,"PACUSITO ENTERO",2026-08-01,21,69,91.1,89.1,87
2100466,"PACUSITO PACU BURGUERS",2026-08-01,6.15,88.8,117.2,114.6,111.9
2200241,"PACUSITO PACU NUGUETS",2026-08-01,1.79,107.7,142.2,139,135.7
2200242,"PACUSITO PACU PARTIDO",2026-08-01,4.7,76,100.4,98.1,95.8
2200013,"PALETA DE CERDO A GRANEL",2026-08-04,6.03,27.5,33.5,33,31.5
7772622360062,"PAN MIX BRASUCO",2026-08-02,5,24,31.7,31,30.3
7770000800704,"PAN MOLDE INTEGRAL KING",2026-08-03,14,13,17.2,16.8,16.4
2200103,"PANCETA AGRANEL",2026-08-02,6.35,51,63,62,61
7774112102008,"PAPA TRADICIONAL SOFIA 36X400 GR 9X9MM",2026-08-02,12,20.45,27,26.4,25.8
7774112101742,"PAPA TRADICIONAL SOFIA 6X2.50 KG",2026-08-04,6,88.76,117.2,114.5,111.9
7774112102978,"PAPAS GRINKLE DE 400 GRS",2026-08-02,6,32.1,42.5,41.5,40.5
7774112102800,"PAPAS CRINKLE 2 KG .",2026-08-02,10,98.4,130,127,124
2200363,"PATAS DE CERDO",2026-08-02,79.65,26.5,18,18,18
7774112100585,"PATE DE HIGADO DE CEDO PROMOCIONAL DE 240 GRS",2026-08-02,8,9.89,13.1,12.8,12.5
7774112100578,"PATE DE HIGADO DE CERDO DE 100 GRS",2026-08-02,21,5.82,7.7,7.6,7.4
7774112100554,"PATE DE HIGADO DE POLLO DE 100 GRS",2026-08-03,17,5.82,7.7,7.6,7.4
7774112110096,"PATE DE TRUCHA AHUMADA",2026-08-02,11,21.63,28.6,27.9,27.3
22003900080501,"PATO DON JOSE CONG",2026-08-02,19,100,132,129,126
2200005,"PECHUGA DE POLLO A GRANEL",2026-08-03,6.31,37.5,44.5,42.5,41.5
11242,"PEPINILLO EN CONSERVA DE 330 GMS",2026-08-02,1,19.19,25.4,24.8,24.2
7774112102442,"PEPINILLOS EN CONSERVA 220 GMS",2026-08-02,3,16.88,23.2,21.8,21.3
2200036,"PERNIL AHUMADO",2026-08-02,5.87,119.76,158.1,154.5,150.9
2200012,"PIERNA DE CERDO A GRANEL",2026-08-03,13.63,27.5,35,34.5,33
2200452,"PIERNA MUSLO DE POLLO CONGELADO EN BANDEJA",2026-08-03,1.21,27.74,36.6,35.8,35
2200006,"PIERNA Y MUSLO DE POLLO A GRANEL",2026-08-04,9.66,37,46,44,43
2204220046208,"PIERNAS DE PATO EN BANDEJA",2026-08-02,4,50,66,64.5,63
7774112102077,"PODIUM ALIMENTO FELINO ADULTO 900 GRS",2026-08-02,2,32.39,46.2,45.2,44.1
7774112102084,"PODIUM ALIMENTO FELINO CASTRADO 900 GRS",2026-08-02,2,35,46.2,45.2,44.1
110010,"PODIUM ADULTO RAZA MEDIANA GRANDE 1KG",2026-08-02,14,30,30,0,0
110011,"PODIUM ADULTO RAZA PEQUEÑA 1KG",2026-08-02,8,30,30,0,0
11119,"PODIUM ADULTO RAZA PEQUEÑA 23 KG",2026-08-02,1,402,530.7,518.6,506.6
7774112100783,"PODIUM ADULTO RAZA PEQUEÑA CANINO 2.8 KG",2026-08-02,3,70.16,92.7,90.6,88.4
7774112100721,"PODIUM CACHORRO RAZA PEQUEÑA CANINO 2.8 KG",2026-08-02,3,76.36,100.8,98.5,96.3
7774112100714,"PODIUM CACHORRO RAZA MEDIANA GRANDE 1,4 KG",2026-08-02,7,40.57,53.6,52.4,51.2
77144,"PODIUM CACHORRO RAZA MEDIANA GRANDE 23KG",2026-08-02,2,410,541.2,528.9,516.6
11118,"PODIUM CACHORRO RAZA PEQUEÑA 23KG",2026-08-02,1,416.6,550,537.4,525
110018,"PODIUM CACHORRO RAZA PEQUEÑA 8KG",2026-08-02,2,152.99,202,197.4,192.8
